#Sample file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01915-01936_154_7_av.dat
#Buffer file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01761-01782_154_buffer_1_av.dat
#q(1/A)          Column          Error           
0.0459912700    0.0051336869    0.0007452721    
0.0461227590    0.0048401845    0.0007495913    
0.0462542480    0.0047961895    0.0007620802    
0.0463857370    0.0049714269    0.0007627971    
0.0465172250    0.0048838939    0.0007665936    
0.0466487140    0.0046041569    0.0007682581    
0.0467802030    0.0044130138    0.0007781375    
0.0469116910    0.0047668677    0.0007749670    
0.0470431800    0.0047648819    0.0007763525    
0.0471746690    0.0046645973    0.0007774964    
0.0473061570    0.0045712313    0.0007780565    
0.0474376460    0.0045141868    0.0007822671    
0.0475691350    0.0044367984    0.0007851090    
0.0477006240    0.0041776214    0.0007803979    
0.0478321120    0.0043632377    0.0007875351    
0.0479636010    0.0041476847    0.0007815043    
0.0480950900    0.0047172227    0.0007909532    
0.0482265780    0.0043603609    0.0007900920    
0.0483580670    0.0041014375    0.0007852131    
0.0484895560    0.0040834308    0.0007894289    
0.0486210440    0.0041786541    0.0007904783    
0.0487525330    0.0043570201    0.0007972519    
0.0488840220    0.0040486236    0.0007921620    
0.0490155110    0.0040261153    0.0007900166    
0.0491469990    0.0042261551    0.0007937066    
0.0492784880    0.0041479443    0.0007961070    
0.0494099770    0.0039870435    0.0007993644    
0.0495414650    0.0038289305    0.0007947046    
0.0496729540    0.0040991428    0.0007975058    
0.0498044430    0.0038253568    0.0007963825    
0.0499359310    0.0042187623    0.0007985763    
0.0500674200    0.0038625103    0.0007988427    
0.0501989090    0.0036837465    0.0008002861    
0.0503303980    0.0039204182    0.0007964287    
0.0504618860    0.0033072100    0.0007985511    
0.0505933750    0.0038080143    0.0007995025    
0.0507248640    0.0033487322    0.0008040374    
0.0508563520    0.0034362647    0.0008038160    
0.0509878410    0.0033572919    0.0007997076    
0.0511193300    0.0037474420    0.0007988756    
0.0512508180    0.0034913721    0.0008031190    
0.0513823070    0.0034486178    0.0008056877    
0.0515137960    0.0034551884    0.0008015764    
0.0516452840    0.0030710890    0.0007977824    
0.0517767730    0.0031807163    0.0008014955    
0.0519082620    0.0033980655    0.0008047975    
0.0520397510    0.0032120651    0.0008053488    
0.0521712390    0.0032951571    0.0008035049    
0.0523027280    0.0028046057    0.0008073807    
0.0524342170    0.0031057359    0.0008011476    
0.0525657050    0.0034118505    0.0008049551    
0.0526971940    0.0033924313    0.0008057186    
0.0528286830    0.0030091150    0.0008077089    
0.0529601710    0.0031260119    0.0008046229    
0.0530916600    0.0029766772    0.0008005917    
0.0532231490    0.0028487155    0.0008079947    
0.0533546380    0.0029001529    0.0008084709    
0.0534861260    0.0027599399    0.0008074993    
0.0536176150    0.0029229425    0.0008064542    
0.0537491040    0.0030262477    0.0008065126    
0.0538805920    0.0027365408    0.0008047548    
0.0540120810    0.0027772072    0.0008126912    
0.0541435700    0.0027491283    0.0008101209    
0.0542750580    0.0026747956    0.0008071667    
0.0544065470    0.0026364236    0.0008052849    
0.0545380360    0.0025457168    0.0008126779    
0.0546695250    0.0021677827    0.0008058389    
0.0548010130    0.0025701619    0.0008136700    
0.0549325020    0.0025905125    0.0008082771    
0.0550639910    0.0025254075    0.0008045235    
0.0551954790    0.0025110934    0.0008118226    
0.0553269680    0.0027758174    0.0008082367    
0.0554584570    0.0023520991    0.0008136255    
0.0555899450    0.0026864491    0.0008089477    
0.0557214340    0.0021745706    0.0008036872    
0.0558529230    0.0026699067    0.0008173221    
0.0559844120    0.0022724675    0.0008128891    
0.0561159000    0.0024368671    0.0008094683    
0.0562473890    0.0024393913    0.0008136343    
0.0563788780    0.0025146602    0.0008077221    
0.0565103660    0.0025219900    0.0008135217    
0.0566418550    0.0024547687    0.0008105743    
0.0567733440    0.0022824743    0.0008156767    
0.0569048320    0.0020645176    0.0008100516    
0.0570363210    0.0023214486    0.0008101986    
0.0571678100    0.0022140795    0.0008132668    
0.0572992990    0.0023617040    0.0008101427    
0.0574307870    0.0020739326    0.0008051423    
0.0575622760    0.0019738644    0.0008124793    
0.0576937650    0.0019596467    0.0008007091    
0.0578252530    0.0020480303    0.0008096242    
0.0579567420    0.0018048015    0.0008100430    
0.0580882310    0.0021728367    0.0008073806    
0.0582197190    0.0021077752    0.0008108781    
0.0583512080    0.0018891055    0.0007996373    
0.0584826970    0.0016123781    0.0008057298    
0.0586141860    0.0015778061    0.0008081133    
0.0587456740    0.0016722099    0.0007985781    
0.0588771630    0.0020531231    0.0008015783    
0.0590086520    0.0021482469    0.0007946200    
0.0591401400    0.0020017841    0.0008011514    
0.0592716290    0.0015835847    0.0007990664    
0.0594031180    0.0021418480    0.0007951093    
0.0595346060    0.0019748900    0.0007990170    
0.0596660950    0.0017370307    0.0007876086    
0.0597975840    0.0015941666    0.0007897972    
0.0599290720    0.0017389714    0.0007978555    
0.0600605610    0.0019027633    0.0007912171    
0.0601920500    0.0020192701    0.0007942800    
0.0603235390    0.0015947106    0.0007865372    
0.0604550270    0.0015348610    0.0007928600    
0.0605865160    0.0015960013    0.0007933777    
0.0607180050    0.0016488894    0.0007880925    
0.0608494930    0.0015695987    0.0007873545    
0.0609809820    0.0018086491    0.0007892710    
0.0611124710    0.0014355601    0.0007850340    
0.0612439590    0.0012094188    0.0007920888    
0.0613754480    0.0012748960    0.0007823683    
0.0615069370    0.0016587890    0.0007902511    
0.0616384260    0.0012761299    0.0007818109    
0.0617699140    0.0014796256    0.0007871259    
0.0619014030    0.0015814306    0.0007891707    
0.0620328920    0.0018774630    0.0007807197    
0.0621643800    0.0015649801    0.0007838963    
0.0622958690    0.0013352129    0.0007855012    
0.0624273580    0.0013349542    0.0007815704    
0.0625588460    0.0011594430    0.0007907037    
0.0626903350    0.0009514731    0.0007786959    
0.0628218240    0.0012257113    0.0007815733    
0.0629533130    0.0013375946    0.0007809578    
0.0630848010    0.0013631512    0.0007796219    
0.0632162900    0.0012662272    0.0007825900    
0.0633477790    0.0012852843    0.0007814376    
0.0634792670    0.0013432941    0.0007745713    
0.0636107560    0.0015267501    0.0007863584    
0.0637422450    0.0012247740    0.0007776443    
0.0638737330    0.0011914360    0.0007826481    
0.0640052220    0.0011945890    0.0007777436    
0.0641367110    0.0011625113    0.0007776534    
0.0642682000    0.0008296872    0.0007774662    
0.0643996880    0.0011320685    0.0007749083    
0.0645311770    0.0013981347    0.0007798397    
0.0646626660    0.0016312984    0.0007763968    
0.0647941540    0.0010824198    0.0007746827    
0.0649256430    0.0011757192    0.0007794532    
0.0650571320    0.0014508341    0.0007748030    
0.0651886200    0.0009969382    0.0007783542    
0.0653201090    0.0013772809    0.0007727303    
0.0654515980    0.0011170591    0.0007726998    
0.0655830870    0.0010802662    0.0007756455    
0.0657145750    0.0007154785    0.0007685205    
0.0658460640    0.0011758837    0.0007734728    
0.0659775530    0.0009670215    0.0007707223    
0.0661090410    0.0009557209    0.0007673747    
0.0662405300    0.0007820564    0.0007719834    
